song title,artist/band name,year,lyrics url,song_lyrics
We'll Be Together Again,Billie Holiday,1958,https://www.azlyrics.com/lyrics/billieholiday/wellbetogetheragain.html,"No tears
No fears
Remember there's always tomorrow
So what if we have to part
We'll be together again

Your kiss
Your smile
Are memories I'll treasure forever
So try thinking with your heart
We'll be together again

Times when I know you'll be lonesome
Times when I know you'll be sad
Don't let temptation surround you
Don't let the blues make you bad

Some day
Some way
We both have a lifetime before us
For parting is not goodbye
We'll be together again.

Times when I know you'll be lonesome
Times when I know you'll be sad
Don't let temptation surround you
Don't let the blues make you bad

Some day
Some way
We both have a lifetime before us
For parting is not goodbye
We'll be together again.
"
You'll Never Know,Doris Day,1958,https://www.azlyrics.com/lyrics/dorisday/youllneverknow.html,"You'll never know just how much I miss you
You'll never know just how much I care
And if I tried, I still couldn't hide my love for you
You ought to know, for haven't I told you so
A million or more times?

You went away and my heart went with you
I speak your name in my every prayer
If there is some other way to prove that I love you
I swear I don't know how
You'll never know if you don't know now

(You went away and my heart went with you
I speak your name in my every prayer)
If there is some other way to prove that I love you
I swear I don't know how
You'll never know if you don't know now

You'll never know if you don't know now
"
I Want To Know,"Charles, Ray",1958,https://www.azlyrics.com/lyrics/raycharles/iwanttoknow.html,"Now when my heart (I want to know)
Wrecked with pain (I want to know)
And my best friends (I want to know)
Scandalize my name (I want to know)
Yeah I wanna know (I want to know)
Said, I wanna know (I want to know)
I want to know (I want to know)
Can you hear my blue (I want to know)
Now when I'm down (Yes, yes, yes)
Yeah pick me up (Yes, yes, yes)
And stand by me (Oh, stand by me)

Now I'm in this world (I want to know)
All alone (I want to know)
I ain't got nobody (I want to know)
To call my own (I want to know)
Well I wanna know (I want to know)
Said, I wanna know (I want to know)
I want to know (I want to know)
Can you hear my blue (I want to know)
Now when I'm down (Yes, yes, yes)
Please pick me up (Yes, yes, yes)
And stand by me (Oh, stand by me)

Now you've heard my song (I want to know)
And my song is through (I want to know)
So remember baby (I want to know)
I'm depending on you (I want to know)
Cause I wanna know (I want to know)
I wanna know (I want to know)
Yeah I wanna know (I want to know)
Can you hear my blue (I want to know)
Now when I'm down (Yes, yes, yes)
Hey Lord, pick me up (Yes, yes, yes)
And stand by me (Oh, stand by me)
Stand by me
"
Too Close For Comfort,"Davis Jr., Sammy",1959,https://www.azlyrics.com/lyrics/sammydavisjr/toocloseforcomfort.html,"Be firm, be fair, be sure, beware
On your guard take care
While there's such temptation
One thing will lead to another
Too late to run for cover
She's much too close for comfort now

Be wise, be smart, behave my heart
Don't upset your cart when she's so close
Be soft, be sweet, but be discreet
Don't go off your beat
She's too close for comfort

Too close, too close for comfort, please not again
Too close, too close to know just when to say when
Be firm, be fair, be absolutely sure, beware
On your guard take care
While there's such temptation
One thing will lead to another
Too late to run for cover
She's much too close for comfort now

Too close, too close for comfort
She's too close, too close to know just when to say when
Be firm, be fair, be sure beware
On your guard take care
While there's such temptation
One things leads to another
Too late to run for cover
She's much too close for comfort now

(And just a little pinch of soda)
One thing leads to another
Too late to run for cover
She's much too close for comfort now

She's much
Too much
Much too much
She's too much, too close for comfort now
"
You'll Never Know What You're Missin',"Nelson, Ricky",1959,https://www.azlyrics.com/lyrics/rickynelson/youllneverknowwhatyouremissin.html,"Have you ever wanted to steal a kiss
Have you ever wanted to try
But you let her get you scared to death
And got you so mad you could cry
Well I'm sorry for you
But I really don't know why
'Cause you'll never know what you're missin' til you try
'Til You try

Have you ever wanted to hold her tight
But you couldn't get up the nerve
So you waited untill she had to go
And got just what you deserved
Did she smile at you
And you never did no why
Well you'll never know what you're missin' til you try
'Til you try

You'll never know what you're missin' til you try
'Til you try
You'll never know what you're missin', that's no lie
That's no lie

So you'd better listen to what I say
If you want some kissin' tonight
Go ahead and hold her close to you
And kiss her with all of your might
You better give her the word
Before she leaves you high and dry
'Cause you'll never know what you're missin' til you try
'Til you try

Well you'll never know what you're missin' til you try
'Til you try
You'll never know what you're missin' and that's no lie
That's no lie

So you'd better listen to what I say
If you want some kissin' tonight
Go ahead and hold her close to you
And kiss her with all of your might
You better give her the word
Before she leaves you high and dry
Because you'll never know what you're missin' til you try
'Til you try
'Cause you'll never know what you're missin' til you try
'Til you try
"
Wild Is The Wind,"Simone, Nina",1959,https://www.azlyrics.com/lyrics/ninasimone/wildisthewind.html,"Love me, love me, love me, say you do
Let me fly away with you
For my love is like the wind
And wild is the wind

Give me more than one caress
Satisfy this hungriness
Let the wind blow through your heart
For wild is the wind

You touch me
I hear the sound of mandolins
You kiss me
With your kiss my life begins
You're spring to me
All things to me

Don't you know you're life itself
Like a leaf clings to a tree
Oh my darling, cling to me
For we're creatures of the wind
And wild is the wind
So wild is the wind

You touch me
I hear the sound of mandolins
You kiss me
With your kiss my life begins
Dady, you're spring to me
All things to me

Don't you know you're life itself
Like a leaf clings to a tree
Oh my darling, cling to me
For we're creatures of the wind
And wild is the wind
So wild is the wind

Wild is the wind
Wild is the wind
Wild is the wind
"
Childhood Sweetheart,"Berry, Chuck",1960,https://www.azlyrics.com/lyrics/chuckberry/childhoodsweetheart.html,"Last night, I had a beautiful dream
Last night, in the wee wee hours, oh yes
Had a beautiful dream
Ain't about my childhood sweetheart
How true and real it seemed  

I had dreamt we was walkin' 
Hand in hand, home from school
Yeah, I dreamt we was walkin' together
Hand in hand, home from school
Yeah, if it hadn't be for you darling,
I'd broke my mother's rule

Yeah, you was only sixteen,
So young and yet so fine
Yeah, you was only sixteen,
So young, yet so fine
You said when you finish school
You let me take and make you mine

Oh yeah 

Yeah, you had those same pretty eyes,
Same sweet little smile
You had those same pretty eyes,
Same sweet little smile
I had dreamt about the sweet things
We used to do, when you was a child  

You were my childhood sweetheart
Love you now, and loved you then
You were my childhood sweetheart
I love you now and I loved you then
And when I'll leave you down the twilight
I'll go to sleep and dream again
"
True Love,"Martin, Dean",1960,https://www.azlyrics.com/lyrics/deanmartin/truelove.html,"I give to you and you give to me
True love true love
So on and on it will always be
True love true love

For you and I have a guardian angel
On high with nothing to do
But to give to you and to give to me
Love forever true

For you and I have a guardian angel
On high with nothing nothing to do
But to give to you and to give to me
Love forever true
"
My Reward,B.B. King,1961,https://www.azlyrics.com/lyrics/bbking/myreward.html,"If this is my reward
For being in love with you
A heart that's full of pain
And disappointment too
If this is what I get
Because my love was true
I know I'll never love again

Am I supposed to cry
And always be alone?
Am I supposed to suffer
'Cause my love was strong?
Well if this is my reward
Then something must be wrong
And I know that I'll never love again

How can I look forward tomorrow?
My tomorrow is just in vain
Yes, if I don't win your love, baby
I'll get my heart back
Then I'll always
Always have to stay this way

I remember when you said your love was mine
You said it would be safe to love you all the time
But the joke is on me sweetheart
'Cause you were only lyin'
And I know that I'll never love again
I'll never love again
"
I Live For You,"Richard, Cliff",1961,https://www.azlyrics.com/lyrics/cliffrichard/iliveforyou.html,"I love you darling, I live for you
Why did you cheat me, and be untrue?
When you knew, yes you knew
I live for you

Why did you go away, what did I do?
Why you were restless, with someone knew
When you knew, yes you knew
I live for you

Do you know how it feels to be all alone?
With no one by your side
Do you know how it feels to be in love?
With someone’s cheated lie

Now my heart is broken, what can I do?
I must go on living, even without you
When you knew, yes you knew
I live for you

Do you know how it feels to be all alone?
With no one by your side
Do you know how it feels to be in love?
With someone’s cheated lie

Now my heart is broken, what can I do?
I must go on living, even without you
When you knew, yes you knew
I live for you
I live for you
"
Run Around,"Berry, Chuck",1961,https://www.azlyrics.com/lyrics/chuckberry/runaround.html,"Lord knows that I love you, why can't we get along? 
Lord knows that I love you, why can't we get along? 
You don't have to run around, doin' things you know is wrong 

I'll do anything in this world to please you, but I won't let you run around 
I'll do anything to please you darlin', but I won't let you run around 
Last time I held on to you, this time I might put you down 

So long, so long baby, there's no future for me and you 
So long pretty baby, no future for me and you 
I love you too much to let you run around the way you do
"
Richest Man (In The World),"Arnold, Eddy",1961,https://www.azlyrics.com/lyrics/eddyarnold/richestmanintheworld.html,"One, two, three, four
One, two, three, four

I got a hump back mule, a plow and potato patch
Cakes that I'm gonna have Sunday
I got the Lord above and a good girl to love me
I'm the richest man in the world

Thank you, thank you Lord above
For smiling down on me
I'm richer now than any man
Has any right to be
Health and love and happiness have been my cup of tea
The richest man in all creation, surely it is me

I got a hump back mule, a plow and potato patch
Cakes that I'm gonna have Sunday
I got the Lord above and a good girl to love me
I'm the richest man in the world

I've got water in my well and heaven in my heart
I have a perfect woman I can trust when we're apart
Cash enough to see a show and eat out now and then
A roof 'of fishing pole and folks can call me friend

I got a hump back mule, a plow and potato patch
Cakes that I'm gonna have Sunday
I got the Lord above and a good girl to love me
I'm the richest man in the world

I don't have much bank account my cash on hand is small
But tell me what are riches, what's the difference after all?
Other folks may think I'm poor but I know it's not so
'Cause when I count my blessings
I'm the richest man I know

I got a hump back mule, a plow and potato patch
Cakes that I'm gonna have Sunday
I got the Lord above and a good girl to love me
I'm the richest man in the world

Now the rich folks talk about the grub they eat
Now I've got all of those rich folks beat
'Cause I've got a field of yellow yams
A smoke house filled with country hams

Talk to me about caviar
They ain't nothing but fish eggs packed in a jar
I got whole pond of big brown trout
Fish eggs a what'a they talkin' about?

I ain't got no fancy swimming pool
But the creek in the woods is deep and cool
I am a lucky man
I'm a lucky fool

I'm wealthy! I'm wealthy!

I got a hump back mule, a plow and potato patch
Cakes that I'm gonna have Sunday
I got the Lord above and a good girl to love me
I'm the richest man in the world

I got a hump back mule, a plow and potato patch
Cakes that I'm gonna have Sunday
I got the Lord above and a good girl to love me
I'm the richest man in the world...
"
My Arms Are A House,Eddy Arnold,1961,https://www.azlyrics.com/lyrics/eddyarnold/myarmsareahouse.html,"My arms are a house I want you to live there
Come into my house for you have the key
My heart is the door that's waiting wide open
To welcome the love who shares it with me

Well furnished with kisses and plans that come true
Our eyes will be windows for love to look through
We'll make it secure with love and devotion
My arms are a house for no one but you

Well furnished with kisses and plans that come true
Our eyes will be windows for love to look through
We'll make it secure with love and devotion
My arms are a house for no one but you...
"
Wedding Bells,"Jones, George",1962,https://www.azlyrics.com/lyrics/georgejones/weddingbells.html,"I have the invitation that you sent me 
You wanted me to see you change your name
I couldn't stand to see you wed another 
But dear I hope you're happy just the same.

Wedding bells are ringing in the chapel 
That should be ringing now for you and me
Down the aisle with someone else you're walking
Those wedding bells will never ring for me.

I planned a little cottage in the valley 
I even brought a little band of gold
I thought someday I'll place it on your finger
But now the future looks so dark and cold.

I fancy that I see a bunch of roses 
A blossom from an orange tree in your hair
And while the organ plays I'll love you truly 
Please let me pretend that I am there.

Wedding bells are ringing in the chapel 
Ever since the day you set me free
I knew someday that you would wed another 
But wedding bells will never ring for me...
"
I Hear Music,"Fitzgerald, Ella",1962,https://www.azlyrics.com/lyrics/ellafitzgerald/ihearmusic.html,"I hear music, mighty fine music
The murmur of a morning breeze up there
The rattle of the milkman on the stair

Sure that's music, mighty fine music
The singing of a sparrow in the sky
The perking of the coffee right nearby

That's my favorite melody
You, my angel, phoning me

I hear music, mighty fine music
And anytime I think my world is wrong
I get me out of bed and sing this song

That's my favorite melody
You, my angel, phoning me

I hear music, mighty fine music
And anytime I think my world is wrong
I get me out of bed and sing this crazy song
"
What'll I Do,"Tillotson, Johnny",1962,https://www.azlyrics.com/lyrics/johnnytillotson/whatllido.html,"What'll I do when you are far away
And I am blue, what'll I do?
What'll I do when I am wondering
Who's kissing you, what'll I do?

What'll I do with just a pho-to-graph
To tell my troubles to?
When I'm alone with only dreams of you
That won't come true, what'll I do?

That won't come true, what'll I do?
"
Charlie's Shoes,"Arnold, Eddy",1962,https://www.azlyrics.com/lyrics/eddyarnold/charliesshoes.html,"I'd like to be in Charlie's shoes
That's what I always said
'Cause he had you and everything
Tied with a golden thread

Then Charlie left and went away
And when I got the news
It wasn't long till I was walking
Around in Charlie's shoes

Now, I'm wearing out
The shoes that Charlie wore
Walking back and forth
Across the floor

The troubles that drove him away
I've got for company
These nights in Charlie's shoes
Are killing me

The greener grass that turned my head
So swiftly did turn brown
'Cause every little dream I build
She's always tearing down

I never knew that Charlie's shoes
Could have so many tacks
Of disappointing sorrows
And I wish he had 'em back

'Cause I'm wearing out...
"
Sciummo,Mina,1962,https://www.azlyrics.com/lyrics/mina/sciummo.html,"Tu scinne
Sciummo, sciummo, sciummo
Da 'a muntagna
Io scénno
Ca na malasciorte
Mm'accumpagna
E ghiammo, ohé
Ll'ammore è sciummo ca se perde a mare

Tu cante
- Tòcche, tòcche, tòcche
Spaccalegna
""'A saccio
Nun ce sta na vócca
Cchiù sanguégna...!""
E i' scénno, ohé
Chi perde 'ammore va cercanno 'o mare

Campana
Ca suone 'a copp'a stu cunvento
Tu siente
Ch'ha fatto chella faccia 'e santa?

Ajére, 'mbracci'a me, nu svenimento
Stasera vasa a n'ato e se n'avanta

Oje comme
Sona lenta e triste
Na zampogna
Ca scénne
- sciummo, sciummo, sciummo
Da 'a muntagna

E ghiammo, ohé
Ll'ammore è sciummo ca se perde a mare
E 'nfunn'ô mare s'arreposa 'o core

Paese
Addó' só' nato, io te saluto
Te veco
Llá 'ncimma, sulo e abbandunato

E io 'nfamo, 'nfamo 'e me, mme ne só' ghiuto
Te lasso pecché 'ammore mm'ha lassato

Tu chiagne
Quase comm'a n'ommo
Ca se lagna
E i' scénno
- sciummo, sciummo, sciummo
Da 'a muntagna

E ghiammo, ohé
Ll'ammore è sciummo ca se perde a mare
E sulo 'o mare fa scurdá ll'ammore
"
I Wake Up Cryin',"Richard, Cliff",1962,https://www.azlyrics.com/lyrics/cliffrichard/iwakeupcryin.html,"I wake up cryin'
After tossin' and turnin'
And a-yearnin' the whole night long
Pretty baby since you went away
I haven't spent a happy day

I wake up cryin'
After sobbin' and sighin'
And a-wonderin' just what went wrong
Pretty baby I was good to you
Why'd you go and make me blue

I need your arms to hold me tight
I need your sweet lips to kiss me goodnight
I'm so unhappy on my own
Don't don't leave me sad and lonely

I wake up cryin'
After tossin' and turnin'
And a-yearnin' the whole night long
Pretty baby please come back to me
Save me from this mesery
Oh baby won'tcha save me from this mesery
Please baby won'tcha save me from this mesery
"
I've Never Been In Love Before,"Darin, Bobby",1963,https://www.azlyrics.com/lyrics/bobbydarin/iveneverbeeninlovebefore.html,"I've never been in love before
Now all at once it's you
It's you forevermore

I've never been in love before
Kinda thought my heart was safe
I thought I knew the score

But this is wine
That's all too strange and strong
I'm full of foolish songs
And out my song must pour

So please forgive
This helpless haze I'm in
I've really never been
In love before

But this is wine
That's all too strange and strong
I'm full of foolish songs
And out my song must pour

So please forgive
This helpless haze I'm in
I've really never been
In love before
"
How Do I Tell My Heart Not To Break,"Campbell, Glen",1963,https://www.azlyrics.com/lyrics/glencampbell/howdoitellmyheartnottobreak.html,"(How do I tell my heart not to break)
Today I met you on the street I smiled at you and then I tried to speak
But you just turned around and walked away
Tell me what could I do oh what can I say how do I tell my heart not to break
On down the street I saw you run to him
He seemed so happy holdin' you again how many times will he kiss you tonight
Tell me what could I do oh what can I say how do I tell my heart not to break
I know how to tell my eyes to stop crying
I know how to tell my hands not to shake
I know how to tell my friends not to be concerned
But how do I tell oh but what do I say how do I tell my heart not to break
Please don't break how do I tell my heart not to break
"
Young And Foolish,"Gore, Lesley",1963,https://www.azlyrics.com/lyrics/lesleygore/youngandfoolish.html,"Young and foolish
Why is it wrong to be
Young and foolish
We haven't long to be
Soon enough the carefree days
The sunlit days go by
Soon enough the bluebird has to fly

We were foolish
One day we fell in love
Now we wonder
What were we dreamin' of
Smiling in the sunlight
Laughing in the rain
I wish that we were young and foolish again

Smiling in the sunlight
Laughing in the rain
I wish that we were young and foolish again
"
(Here I Am) Brokenhearted,Sammy Davis Jr.,1964,https://www.azlyrics.com/lyrics/sammydavisjr/hereiambrokenhearted.html,"There she is, my old gal
There he is, my old pal
And here am I broken hearted
She was mine in may his in June
She forgot mighty soon
And here am I broken hearted

The last time that we said good bye
I knew that we were through
It's bad enough that I lost her
I had to lose him too
But there they go in their joy
Happy girl, lucky boy
And here am I broken hearted

Oh my heart would never ever know pain
If I hadn't ever loved in vain
But here am I broken hearted
"
Gambling Man,"Guthrie, Woody",1964,https://www.azlyrics.com/lyrics/woodyguthrie/gamblingman.html,"Ah gambled down in Washington
Ah gambled down in Maine
Goin' down to Georgia
To knock down my last game
Ahm a gamiblin' man man man
Ahm a gambling' man
Ahm a gamblin'

I had not been in Washington
Many more weeks than three
When I fell in love with a pretty little gal
And she fell in love with me
Ahm a Gamblin' man man man
Ahm a Gamblin' man
Ahm a gamblin'

She took me in her parlour
Cooled me with her fan
She said ""Oh Mother, Mother
I'm in love with a gamblin' man""
Ahm a gambling' man, man...

She said ""Oh Daughter, Daughter
How could you treat me so
Leave your poor old Mother
And with that gambler go""
Ahm a gamblin' man, man...

I hear that train a-comin'
A-comin' round the curve
A-whistlin' and a-screamin'
Strainin' every nerve
Ahm a gamblin' man, man...

I wouldn't marry a railroad man
And here's the reason why
I never knew a railroad man
Who wouldn't tell his wife a lie
Ahm a gamblin' man, man...

I would marry a farmer
He's always in the rain
I'd rather marry a gamblin' man
With a big gold watch and chain
Ahm a gamblin' man, man...

Man man man
Ahm a gamblin' man man man
Ahm a gamblin' man man man
Ahm a gamblin' man
"
Somewhere,"Mathis, Johnny",1964,https://www.azlyrics.com/lyrics/johnnymathis/somewhere.html,"Someday, somewhere
Well find a new way of living
Will find a way of forgiving
Somewhere
There's a place for us
Somewhere a place for us
Peace and quiet and open air
Wait for us
Somewhere
There's a time for us
Someday there'll time for us
Time together and time to spare
Time to learn, time to care
Someday, somewhere
Well find a new way of living
Will find there's a way of forgiving
Somewhere, somewhere, somewhere
There's a place for us
A time and a place for us
Hold my hand and were half way there
Just hold my hand and I'll take you there
Somehow
Someday, somewhere
"
Hey Now,Lesley Gore,1964,https://www.azlyrics.com/lyrics/lesleygore/heynow.html,"Hey now, what you gonna do
Are you gonna be mine tried and true
Hey hey hey now, give it to me straight?
Am I gonna be the one or just another date?
Look-a here, I gotta know quick
Because I can't waste my time just waitin' round your line
When I can find another guy

So hey hey hey now, what you gonna say?
Are you gonna go on or are you gonna stay?
Wo oh right here, oh I gotta go, dear
Because I can't waste my time just waitin' round your line
When I can find another guy, so...

Hey hey hey now, what you gonna say?
Are you gonna go on or are you gonna stay?
"
Golden Earrings,Bobby Darin,1964,https://www.azlyrics.com/lyrics/bobbydarin/goldenearrings.html,"There's a story
The Gypsies know is true
That when your love wears golden earrings
She belongs to you

An old love story
That's known to very few
But if you wear these golden earrings
Love will come to you

By the burning fire
They will glow
With every coal
You will hear desire
Whisper low
In your soul

So be my Gypsy
Make love your guiding light
And let this pair of golden earrings
Cast their spell tonight

By the burning fire
They will glow
With every coal
You will hear desire
Whisper low
Inside your soul

So be my Gypsy
Make love your guiding light
And let this pair of golden earrings
Cast their spell tonight

Let this pair golden earrings
Do their work tonight
Yes, let this pair golden earrings
Cast their spell
"
Adesso No,Neil Sedaka,1964,https://www.azlyrics.com/lyrics/neilsedaka/adessono.html,"Mi sarei innamorato
Se ti avessi incontrato
Mi sarei innamorato subito... lo so

Mi saresti piaciuta
Se tu avessi aspettato
Tu mi avresti capito subito... lo so
Ma adesso no
Perché sai troppe cose d'amor
E conosci la gioia e il dolor
Adesso no, adesso no
Adesso no
No no no no no no no
Forse t'ero vicino
Mai lontano hai cercato
Quello che ti avrei dato subito... lo so
Solo il tempo tradito
Un amore perduto
Che sarebbe sbocciato subito... lo so

Ma adesso no
Perché sai troppe cose d'amor
E conosci la gioia e il dolor
Adesso no, adesso no
Adesso no

Solo il tempo tradito
Un amore perduto
Che sarebbe sbocciato subito... lo so
Ma adesso no
Perché sai troppe cose d'amor
E conosci la gioia e il dolor
Adesso no, adesso no
Adesso no no no no no
"
A Walk Through The Sun,"Turtles, The",1965,https://www.azlyrics.com/lyrics/turtles/awalkthroughthesun.html,"The cold wind air it sets my gohills boots on fire
But if I told you I've forgotten my past, I'll be a motherless liar
I want out on the street, I want out on the world
I have been a mile of the devil's girl
I'm gonna hold my head on high and take a walk in the sun

Well she gave her heart to so many that shattered my world
Oh but a man can't ruin his life for the love of a girl
I'm gonna throw out my crotches, gonna run into the ring
Gonna let my nostrils swell with the nature of plains
I'm gonna hold my head on high and take a walk in the sun

Well she loved so many men, my heart was breaken
With every little kiss, well I be aching
Whatever I've be given to be taken
Oh but a man can't live when the story begins, begins to slip away

I'm gonna walk right down that road and never return
I know into these fires inside me are starting to burn
'Cause I don't need a girl beside me or a girl to keep me warm
Or a girl that I can talk to till the twenty hours or more
I'm gonna hold my head on high and take a walk in the sun

I'm gonna walk right down that road and never return
I know into these fires inside me are starting to burn
'Cause I don't need a girl beside me or a girl to keep me warm
Or a girl that I can talk to till the twenty hours or more
I'm gonna hold my head on high and take a walk in the sun
I'm gonna hold my head on high and take a walk in the sun
"
